active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,fit_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,source_file,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(0, 8, 1, 176)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:13:00,61.0,,,,,,,,,,-48,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1491.0,,,,,,1057068780.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,66.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,38636.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(10, 64, 1, 32)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,2023-06-30 14:14:00,53.0,,,,,,,,,,-37,,19.0,,,,,1.0,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,1510.0,,,,,,1057068840.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,67.0,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,38696.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,7264.0,,,,,,1057068840.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(4, 6, 1, 40)",,,,,,,,,,,,
