File,LocalDate,Sport,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density
j.campton_339242835577.fit,2025-06-06,training,13,32.0,1000.0,60.0,40.0,3345.9,0.0,1.0
j.campton_339832526041.fit,2025-06-09,training,20,44.0,1185.0,85.0,49.5,1706.8999999999999,0.0,1.0
j.campton_340356977487.fit,2025-06-11,training,34,83.0,2690.0,60.0,41.76470588235294,2160.7,0.0,1.0
j.campton_340878753307.fit,2025-06-13,training,1,7.0,0.0,,,3282.3,0.0,1.0
j.campton_341394886393.fit,2025-06-15,training,25,52.0,910.0,50.0,29.166666666666668,1593.5,0.0,1.0
j.campton_342450954417.fit,2025-06-19,training,1,4.0,0.0,,,1453.9,0.0,1.0
j.campton_348678139435.fit,2025-07-08,training,9,50.0,416.0,40.0,16.0,2048.4,0.0,1.0
j.campton_348678178441.fit,2025-07-10,training,34,104.0,4640.0,60.0,45.88235294117647,1875.4,0.0,1.0
j.campton_348938303982.fit,2025-07-13,training,42,158.0,3390.0,60.0,25.714285714285715,2200.2,0.0,1.0
j.campton_349469271407.fit,2025-07-15,training,56,192.0,7400.0,70.0,43.42857142857143,2571.8,0.0,1.0
j.campton_350788513421.fit,2025-07-17,training,14,59.0,2200.0,50.0,41.42857142857143,2084.6,0.0,1.0
j.campton_350788657375.fit,2025-07-20,training,34,150.0,1980.0,85.0,32.794117647058826,2608.5,0.0,1.0
j.campton_351852220983.fit,2025-07-22,training,30,168.0,5660.0,100.0,50.666666666666664,2437.8,0.0,1.0
j.campton_351852248599.fit,2025-07-24,training,25,67.0,1495.0,45.0,35.416666666666664,2186.6,0.0,1.0
j.campton_357296218975.fit,2025-08-14,training,22,69.0,2135.0,78.0,30.09090909090909,1925.1,0.0,1.0
j.campton_358975748638.fit,2025-08-20,training,36,56.0,2750.0,170.0,80.55555555555556,2460.9,0.0,1.0
j.campton_360356830140.fit,2025-08-25,training,16,23.0,1130.0,70.0,56.25,773.4,0.0,1.0
