LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets
2025-03-02,1,54,137.0,5020.0,70.0,38.888888888888886,4057.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-03,1,72,117.0,805.0,37.5,5.277777777777778,4261.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-04,1,48,111.0,3215.0,70.0,34.166666666666664,3858.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-05,1,54,112.0,2406.0,42.0,14.944444444444445,3785.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-09,1,44,109.0,3960.0,60.0,41.36363636363637,2812.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-10,1,46,117.0,3415.0,45.0,29.23913043478261,3285.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-12,1,78,129.0,3600.0,70.0,17.435897435897434,5944.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-17,1,14,31.0,815.0,37.5,27.5,1159.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-18,1,54,133.0,3355.0,70.0,31.666666666666668,3607.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-19,1,28,87.0,2955.0,42.5,34.642857142857146,2289.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-20,2,88,195.0,5115.0,60.0,26.07758620689655,6498.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-22,1,28,75.0,4620.0,70.0,60.714285714285715,2150.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-24,1,44,91.0,815.0,37.5,8.75,2725.9,0.0,1.0,,,,,,,,,,,,,,,,,,
